% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 3.00 kHz, RBW 4.632 Hz (Minimum mode), Hanning window, Video filter off, 16 averages
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:53:32 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
2.760706e+00, 7.634276e-02, 8.143367e-04
5.788244e+00, 5.877223e-03, 5.517077e-05
8.815781e+00, 1.739950e-03, 2.706325e-05
1.184332e+01, 1.095092e-03, 1.077585e-05
1.487086e+01, 1.478022e-03, 1.596038e-05
1.789839e+01, 1.684786e-03, 1.746744e-05
2.092593e+01, 1.110962e-03, 1.786194e-05
2.395347e+01, 1.100112e-03, 1.590970e-05
2.698101e+01, 1.446318e-03, 1.112580e-05
3.000854e+01, 1.673426e-03, 8.806805e-06
3.303608e+01, 6.149945e-04, 1.109246e-05
3.606362e+01, 1.609776e-04, 9.317870e-06
3.909116e+01, 2.404914e-04, 7.476062e-06
4.211869e+01, 1.408421e-04, 6.912450e-06
4.514623e+01, 6.175508e-05, 7.832687e-06
4.817377e+01, 1.007201e-04, 5.741481e-06
5.120131e+01, 1.361305e-04, 6.140784e-06
5.422884e+01, 1.554644e-04, 7.445654e-06
5.725638e+01, 2.028882e-04, 6.846033e-06
6.028392e+01, 1.896388e-04, 6.989270e-06
6.331146e+01, 9.866840e-05, 7.495534e-06
6.633899e+01, 6.242506e-05, 8.055945e-06
6.936653e+01, 6.055226e-05, 6.424857e-06
7.239407e+01, 4.862954e-05, 6.728936e-06
7.542161e+01, 4.537639e-05, 7.381371e-06
7.844914e+01, 2.553965e-05, 5.796962e-06
8.147668e+01, 3.184876e-05, 5.007692e-06
8.450422e+01, 4.172567e-05, 5.320839e-06
8.753176e+01, 3.753306e-05, 6.021287e-06
9.055929e+01, 3.227184e-05, 5.692402e-06
9.358683e+01, 2.426587e-05, 5.588642e-06
9.661437e+01, 1.530583e-05, 5.154396e-06
9.964191e+01, 1.034013e-05, 5.086112e-06
1.026694e+02, 1.370835e-05, 5.530760e-06
1.056970e+02, 1.431960e-05, 5.100783e-06
1.087245e+02, 1.366769e-05, 5.090113e-06
1.117521e+02, 2.042486e-05, 4.815642e-06
