% Moku:SpectrumAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 1.569 Hz (Minimum mode), Hanning window, Video filter off, 32 averages
% Internal 10 MHz clock
% Acquired 2019-02-04 T 15:40:08 +0900
% Frequency (Hz), Ch 1 (V/rtHz), Ch 2 (V/rtHz)
1.877666e-01, 2.010584e-01, 1.743472e-03
1.213223e+00, 8.542491e-02, 7.419803e-04
2.238679e+00, 2.544350e-03, 3.695891e-05
3.264135e+00, 6.508288e-04, 2.458766e-05
4.289592e+00, 1.042646e-03, 2.136650e-05
5.315048e+00, 8.828749e-04, 2.179592e-05
6.340504e+00, 3.114261e-04, 2.163476e-05
7.365960e+00, 3.263322e-04, 1.823245e-05
8.391417e+00, 2.273786e-04, 1.760211e-05
9.416873e+00, 2.599797e-04, 1.644051e-05
1.044233e+01, 5.420384e-04, 1.594735e-05
1.146779e+01, 1.133697e-03, 1.504959e-05
1.249324e+01, 1.041567e-03, 1.505590e-05
1.351870e+01, 9.830895e-04, 1.326565e-05
1.454415e+01, 1.094469e-03, 1.147013e-05
1.556961e+01, 1.066701e-03, 1.120419e-05
1.659507e+01, 1.441450e-03, 1.221409e-05
1.762052e+01, 2.359092e-03, 1.223871e-05
1.864598e+01, 3.314590e-03, 1.236221e-05
1.967144e+01, 2.517060e-03, 1.040448e-05
2.069689e+01, 9.588059e-04, 1.190334e-05
2.172235e+01, 4.831244e-04, 1.292817e-05
2.274780e+01, 8.199228e-04, 1.189239e-05
2.377326e+01, 1.396458e-03, 1.173355e-05
2.479872e+01, 1.138991e-03, 9.449703e-06
2.582417e+01, 4.626353e-04, 9.092872e-06
2.684963e+01, 7.317215e-04, 8.060251e-06
2.787509e+01, 2.018709e-03, 8.569408e-06
2.890054e+01, 3.200805e-03, 8.174496e-06
2.992600e+01, 2.043503e-03, 8.627688e-06
3.095145e+01, 4.971779e-04, 1.011729e-05
3.197691e+01, 1.550250e-04, 1.002871e-05
3.300237e+01, 9.729095e-05, 8.646623e-06
3.402782e+01, 5.667751e-05, 8.862700e-06
3.505328e+01, 3.407422e-05, 7.862059e-06
3.607874e+01, 4.872933e-05, 8.328295e-06
3.710419e+01, 1.313427e-04, 8.165028e-06
3.812965e+01, 3.103641e-04, 8.513653e-06
3.915510e+01, 3.535810e-04, 8.493245e-06
4.018056e+01, 1.886156e-04, 8.057095e-06
4.120602e+01, 9.306236e-05, 6.884982e-06
4.223147e+01, 6.329995e-05, 7.075600e-06
4.325693e+01, 9.041003e-05, 6.493226e-06
4.428239e+01, 9.992986e-05, 7.503545e-06
4.530784e+01, 6.054595e-05, 6.926640e-06
4.633330e+01, 4.516822e-05, 7.865004e-06
4.735875e+01, 8.198722e-05, 8.661561e-06
4.838421e+01, 1.258037e-04, 7.834707e-06
4.940967e+01, 1.671425e-04, 7.589176e-06
5.043512e+01, 2.745113e-04, 7.746762e-06
5.146058e+01, 2.433819e-04, 7.123150e-06
5.248604e+01, 1.399412e-04, 7.133038e-06
5.351149e+01, 1.774151e-04, 6.841220e-06
5.453695e+01, 2.506389e-04, 6.720032e-06
5.556240e+01, 1.654679e-04, 6.764846e-06
5.658786e+01, 1.891456e-04, 7.569819e-06
5.761332e+01, 3.625080e-04, 7.186268e-06
5.863877e+01, 3.074772e-04, 6.855106e-06
5.966423e+01, 1.895011e-04, 5.884551e-06
6.068969e+01, 1.213170e-04, 5.581792e-06
6.171514e+01, 1.007479e-04, 6.317756e-06
6.274060e+01, 6.993036e-05, 6.678584e-06
6.376605e+01, 5.050181e-05, 7.465042e-06
6.479151e+01, 6.716252e-05, 6.759165e-06
6.581697e+01, 8.058056e-05, 5.517622e-06
6.684242e+01, 9.044147e-05, 5.847101e-06
