% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 100 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 50 Ohm, amplitude 20 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-08 T 14:47:01 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
9.202177e+04, -6.615731e+01, 6.358950e+01, 1.387312e+01, 1.564712e+02, -8.003044e+01, -9.288170e+01
8.917901e+04, -7.128777e+01, -4.342574e+01, 1.386707e+01, 1.572285e+02, -8.515484e+01, 1.593457e+02
8.642406e+04, -6.118000e+01, -1.894082e+00, 1.386426e+01, 1.579304e+02, -7.504426e+01, -1.598245e+02
8.375422e+04, -5.676670e+01, -3.646586e+01, 1.386033e+01, 1.586484e+02, -7.062703e+01, 1.648857e+02
8.116686e+04, -5.433840e+01, -3.670799e+01, 1.385781e+01, 1.593315e+02, -6.819621e+01, 1.639605e+02
7.865942e+04, -4.728683e+01, -2.311770e+01, 1.384325e+01, 1.599822e+02, -6.113008e+01, 1.769001e+02
7.622945e+04, -4.448396e+01, -5.859665e+00, 1.383302e+01, 1.606028e+02, -5.831699e+01, -1.664624e+02
7.387455e+04, -3.901752e+01, 7.626605e+01, 1.385516e+01, 1.608567e+02, -5.287268e+01, -8.459062e+01
7.159239e+04, -4.687016e+01, 2.003322e+01, 1.385417e+01, 1.617210e+02, -6.072432e+01, -1.416877e+02
6.938074e+04, -4.303358e+01, -1.001356e+01, 1.384157e+01, 1.623683e+02, -5.687516e+01, -1.723819e+02
6.723740e+04, -4.663473e+01, 4.030475e+01, 1.385835e+01, 1.628071e+02, -6.049309e+01, -1.225023e+02
6.516028e+04, -3.211937e+01, 6.330507e+01, 1.382341e+01, 1.628002e+02, -4.594278e+01, -9.949513e+01
6.314733e+04, -3.709576e+01, 1.144185e+02, 1.389410e+01, 1.635803e+02, -5.098987e+01, -4.916181e+01
6.119656e+04, -4.080305e+01, 1.325229e+02, 1.389699e+01, 1.642716e+02, -5.470003e+01, -3.174864e+01
5.930606e+04, -3.872951e+01, 1.350273e+02, 1.390645e+01, 1.647432e+02, -5.263596e+01, -2.971587e+01
5.747396e+04, -4.282973e+01, 1.332333e+02, 1.389781e+01, 1.652681e+02, -5.672754e+01, -3.203473e+01
5.569845e+04, -4.462780e+01, 1.466419e+02, 1.389500e+01, 1.657965e+02, -5.852280e+01, -1.915454e+01
5.397780e+04, -4.672078e+01, 1.446741e+02, 1.388965e+01, 1.662282e+02, -6.061042e+01, -2.155417e+01
5.231030e+04, -4.940660e+01, 1.329660e+02, 1.387589e+01, 1.666875e+02, -6.328249e+01, -3.372148e+01
5.069431e+04, -5.130596e+01, 1.276987e+02, 1.386742e+01, 1.671125e+02, -6.517338e+01, -3.941382e+01
4.912825e+04, -5.168141e+01, 1.143879e+02, 1.384770e+01, 1.674897e+02, -6.552911e+01, -5.310176e+01
4.761056e+04, -4.965434e+01, 1.199904e+01, 1.382352e+01, 1.679494e+02, -6.347786e+01, -1.559504e+02
4.613976e+04, -4.504502e+01, -3.759736e+00, 1.381589e+01, 1.683508e+02, -5.886091e+01, -1.721105e+02
4.471440e+04, -3.648936e+01, -4.819638e+00, 1.377231e+01, 1.687516e+02, -5.026167e+01, -1.735713e+02
4.333307e+04, -2.529720e+01, 1.722840e+01, 1.360447e+01, 1.685549e+02, -3.890167e+01, -1.513265e+02
4.199441e+04, -2.474930e+01, 1.337136e+02, 1.402453e+01, 1.682470e+02, -3.877383e+01, -3.453336e+01
4.069710e+04, -3.381065e+01, 1.203098e+02, 1.390901e+01, 1.692351e+02, -4.771966e+01, -4.892528e+01
3.943987e+04, -3.283369e+01, 1.507290e+02, 1.396178e+01, 1.697554e+02, -4.679547e+01, -1.902637e+01
3.822148e+04, -3.473638e+01, 1.107951e+02, 1.392585e+01, 1.699204e+02, -4.866223e+01, -5.912536e+01
3.704073e+04, -3.342723e+01, 8.111442e+01, 1.387561e+01, 1.700567e+02, -4.730284e+01, -8.894231e+01
3.589646e+04, -3.157159e+01, 7.025159e+01, 1.383085e+01, 1.702699e+02, -4.540244e+01, -1.000183e+02
3.478754e+04, -2.533190e+01, 1.393479e+02, 1.404145e+01, 1.702427e+02, -3.937334e+01, -3.089478e+01
3.371287e+04, -2.788414e+01, 1.562381e+02, 1.401646e+01, 1.710297e+02, -4.190059e+01, -1.479158e+01
3.267140e+04, -2.876556e+01, 1.637712e+02, 1.399682e+01, 1.715039e+02, -4.276238e+01, -7.732676e+00
3.166210e+04, -2.979707e+01, 1.650394e+02, 1.397622e+01, 1.718303e+02, -4.377329e+01, -6.790922e+00
3.068399e+04, -3.009531e+01, 1.671552e+02, 1.397537e+01, 1.721182e+02, -4.407068e+01, -4.962959e+00
2.973609e+04, -3.009040e+01, 1.682096e+02, 1.396897e+01, 1.723853e+02, -4.405937e+01, -4.175744e+00
2.881747e+04, -3.070316e+01, 1.691173e+02, 1.396992e+01, 1.726293e+02, -4.467308e+01, -3.511954e+00
2.792723e+04, -3.087419e+01, 1.677397e+02, 1.396052e+01, 1.728514e+02, -4.483470e+01, -5.111740e+00
2.706450e+04, -3.060637e+01, 1.614138e+02, 1.395936e+01, 1.729740e+02, -4.456573e+01, -1.156027e+01
