% Moku:BodeAnalyzer
% Ch 1 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 200 mVpp
% Ch 2 - DC coupling, 50 Ohm impedance, 20 dB attenuation, output load 1 MOhm, amplitude 100 mVpp
% Logarithmic sweep, calibration off
% Averaging time 2.000 ms, 4 cycles; Settling time 2.000 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2019-02-04 T 16:23:02 +0900
% Frequency (Hz), Magnitude 1 (dB), Phase 1 (deg), Magnitude 2 (dB), Phase 2 (deg), Math (Ch 1 / Ch 2) magnitude (dB), Math (Ch 1 / Ch 2) phase (deg)
6.630069e+03, -2.721864e+01, -1.513422e+02, 2.925446e-01, 1.794256e+02, -2.751118e+01, 2.923219e+01
6.488452e+03, -2.765545e+01, -1.497394e+02, 3.122698e-01, 1.795511e+02, -2.796772e+01, 3.070959e+01
6.349860e+03, -2.685201e+01, -1.508264e+02, 3.190368e-01, 1.795958e+02, -2.717105e+01, 2.957778e+01
6.214229e+03, -2.655230e+01, -1.497154e+02, 2.950995e-01, 1.796537e+02, -2.684740e+01, 3.063091e+01
6.081494e+03, -2.644800e+01, -1.464405e+02, 2.673816e-01, 1.799160e+02, -2.671538e+01, 3.364350e+01
5.951595e+03, -2.637233e+01, -1.464431e+02, 2.596642e-01, -1.799990e+02, -2.663199e+01, 3.355591e+01
5.824470e+03, -2.584350e+01, -1.458192e+02, 2.624199e-01, -1.799123e+02, -2.610592e+01, 3.409314e+01
5.700061e+03, -2.543192e+01, -1.444442e+02, 2.903762e-01, -1.797018e+02, -2.572229e+01, 3.525762e+01
5.578309e+03, -2.553399e+01, -1.460986e+02, 3.196187e-01, -1.798038e+02, -2.585361e+01, 3.370519e+01
5.459157e+03, -2.499124e+01, -1.449741e+02, 3.497094e-01, -1.797077e+02, -2.534095e+01, 3.473361e+01
5.342551e+03, -2.462836e+01, -1.439737e+02, 3.595758e-01, -1.795512e+02, -2.498794e+01, 3.557758e+01
5.228435e+03, -2.431943e+01, -1.420031e+02, 3.624305e-01, -1.793827e+02, -2.468186e+01, 3.737959e+01
5.116757e+03, -2.366397e+01, -1.441739e+02, 3.894666e-01, -1.791567e+02, -2.405343e+01, 3.498285e+01
5.007464e+03, -2.354693e+01, -1.422502e+02, 3.455877e-01, -1.790779e+02, -2.389251e+01, 3.682773e+01
4.900506e+03, -2.351689e+01, -1.396020e+02, 3.418846e-01, -1.788442e+02, -2.385878e+01, 3.924222e+01
4.795832e+03, -2.330259e+01, -1.379844e+02, 3.692243e-01, -1.787600e+02, -2.367181e+01, 4.077564e+01
4.693394e+03, -2.300771e+01, -1.401674e+02, 4.138528e-01, -1.788509e+02, -2.342157e+01, 3.868341e+01
4.593144e+03, -2.271232e+01, -1.410500e+02, 4.538381e-01, -1.787138e+02, -2.316616e+01, 3.766376e+01
4.495036e+03, -2.239495e+01, -1.388756e+02, 4.616718e-01, -1.784993e+02, -2.285662e+01, 3.962367e+01
4.399023e+03, -2.238935e+01, -1.397267e+02, 4.364149e-01, -1.785577e+02, -2.282577e+01, 3.883096e+01
4.305061e+03, -2.271945e+01, -1.392906e+02, 3.871909e-01, -1.784680e+02, -2.310664e+01, 3.917740e+01
4.213105e+03, -2.230630e+01, -1.484900e+02, 4.403056e-01, -1.788640e+02, -2.274660e+01, 3.037403e+01
4.123114e+03, -2.007741e+01, -1.460804e+02, 5.804269e-01, -1.781635e+02, -2.065783e+01, 3.208308e+01
4.035046e+03, -1.987690e+01, -1.411256e+02, 5.640274e-01, -1.776130e+02, -2.044093e+01, 3.648743e+01
3.948858e+03, -1.934148e+01, -1.392259e+02, 6.041011e-01, -1.772270e+02, -1.994559e+01, 3.800110e+01
3.864511e+03, -1.879534e+01, -1.360462e+02, 6.496323e-01, -1.768261e+02, -1.944497e+01, 4.077990e+01
3.781966e+03, -1.842783e+01, -1.311272e+02, 6.355857e-01, -1.762743e+02, -1.906342e+01, 4.514707e+01
3.701184e+03, -1.849315e+01, -1.298090e+02, 6.116575e-01, -1.761799e+02, -1.910480e+01, 4.637091e+01
3.622128e+03, -1.831817e+01, -1.280660e+02, 6.025149e-01, -1.759557e+02, -1.892068e+01, 4.788971e+01
